id;Watched date;Name;Year;Genre;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
20;21/2/23;Harry Potter and the Deathly Hallows: Part 2;2011;Adventure;130;False;UK;True;False;4,5;4;478859;64319
20;21/2/23;Harry Potter and the Deathly Hallows: Part 2;2011;Adventure;130;False;USA;True;False;4,5;4;478859;64319
20;21/2/23;Harry Potter and the Deathly Hallows: Part 2;2011;Fantasy;130;False;UK;True;False;4,5;4;478859;64319
20;21/2/23;Harry Potter and the Deathly Hallows: Part 2;2011;Fantasy;130;False;USA;True;False;4,5;4;478859;64319
21;12/3/23;Scream VI;2023;Crime;123;False;USA;False;False;4,5;3,4;186506;172742
21;12/3/23;Scream VI;2023;Horror;123;False;USA;False;False;4,5;3,4;186506;172742
21;12/3/23;Scream VI;2023;Thriller;123;False;USA;False;False;4,5;3,4;186506;172742
22;22/1/23;Everything Everywhere All at Once;2022;Science Fiction;139;False;USA;False;False;4,5;4,3;1432657;587270
22;22/1/23;Everything Everywhere All at Once;2022;Action;139;False;USA;False;False;4,5;4,3;1432657;587270
22;22/1/23;Everything Everywhere All at Once;2022;Adventure;139;False;USA;False;False;4,5;4,3;1432657;587270
23;13/4/23;John Wick: Chapter 4;2023;Action;169;False;Germany;False;False;3,5;3,9;258098;171042
23;13/4/23;John Wick: Chapter 4;2023;Action;169;False;USA;False;False;3,5;3,9;258098;171042
23;13/4/23;John Wick: Chapter 4;2023;Thriller;169;False;Germany;False;False;3,5;3,9;258098;171042
23;13/4/23;John Wick: Chapter 4;2023;Thriller;169;False;USA;False;False;3,5;3,9;258098;171042
23;13/4/23;John Wick: Chapter 4;2023;Crime;169;False;Germany;False;False;3,5;3,9;258098;171042
23;13/4/23;John Wick: Chapter 4;2023;Crime;169;False;USA;False;False;3,5;3,9;258098;171042
24;2/5/23;Spencer;2021;Drama;111;False;Chile;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;Drama;111;False;Germany;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;Drama;111;False;UK;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;Drama;111;False;USA;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;History;111;False;Chile;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;History;111;False;Germany;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;History;111;False;UK;False;False;3,5;3,7;124062;93677
24;2/5/23;Spencer;2021;History;111;False;USA;False;False;3,5;3,7;124062;93677
25;2/5/23;A Quiet Place Part II;2020;Horror;97;False;USA;False;False;5;3,4;182024;89176
25;2/5/23;A Quiet Place Part II;2020;Science Fiction;97;False;USA;False;False;5;3,4;182024;89176
25;2/5/23;A Quiet Place Part II;2020;Thriller;97;False;USA;False;False;5;3,4;182024;89176
26;3/5/23;Hunger;2023;Drama;145;False;Thailand;False;False;4,5;3,2;7872;10991
27;12/5/23;Spotlight;2015;History;129;False;Canada;False;False;5;4,1;168523;35788
27;12/5/23;Spotlight;2015;History;129;False;USA;False;False;5;4,1;168523;35788
27;12/5/23;Spotlight;2015;Drama;129;False;Canada;False;False;5;4,1;168523;35788
27;12/5/23;Spotlight;2015;Drama;129;False;USA;False;False;5;4,1;168523;35788
28;18/6/23;The Little Mermaid;2023;Family;135;False;USA;False;False;4;3,2;122610;140405
28;18/6/23;The Little Mermaid;2023;Fantasy;135;False;USA;False;False;4;3,2;122610;140405
28;18/6/23;The Little Mermaid;2023;Romance;135;False;USA;False;False;4;3,2;122610;140405
28;18/6/23;The Little Mermaid;2023;Adventure;135;False;USA;False;False;4;3,2;122610;140405
29;30/5/23;Ant-Man and the Wasp: Quantumania;2023;Adventure;124;False;USA;False;False;3;2,3;87411;161946
29;30/5/23;Ant-Man and the Wasp: Quantumania;2023;Science Fiction;124;False;USA;False;False;3;2,3;87411;161946
29;30/5/23;Ant-Man and the Wasp: Quantumania;2023;Action;124;False;USA;False;False;3;2,3;87411;161946
30;2/7/23;The Hunger Games;2012;Fantasy;142;False;USA;True;False;5;3,6;588028;160263
30;2/7/23;The Hunger Games;2012;Science Fiction;142;False;USA;True;False;5;3,6;588028;160263
31;2/7/23;The Hunger Games: Catching Fire;2013;Science Fiction;146;False;USA;True;True;5;3,8;458777;145994
31;2/7/23;The Hunger Games: Catching Fire;2013;Action;146;False;USA;True;True;5;3,8;458777;145994
31;2/7/23;The Hunger Games: Catching Fire;2013;Adventure;146;False;USA;True;True;5;3,8;458777;145994
32;4/7/23;The Hunger Games: Mockingjay Ð Part 1;2014;Thriller;123;False;USA;True;False;5;3,2;247128;88783
32;4/7/23;The Hunger Games: Mockingjay Ð Part 1;2014;Science Fiction;123;False;USA;True;False;5;3,2;247128;88783
32;4/7/23;The Hunger Games: Mockingjay Ð Part 1;2014;Adventure;123;False;USA;True;False;5;3,2;247128;88783
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Science Fiction;137;False;Germany;True;False;5;3,3;231296;89651
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Science Fiction;137;False;USA;True;False;5;3,3;231296;89651
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Action;137;False;Germany;True;False;5;3,3;231296;89651
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Action;137;False;USA;True;False;5;3,3;231296;89651
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Adventure;137;False;Germany;True;False;5;3,3;231296;89651
33;6/7/23;The Hunger Games: Mockingjay Ð Part 2;2015;Adventure;137;False;USA;True;False;5;3,3;231296;89651
34;6/7/23;Spider-Man: Into the Spider-Verse;2018;Adventure;117;False;USA;False;False;4,5;4,4;1710374;274599
34;6/7/23;Spider-Man: Into the Spider-Verse;2018;Animation;117;False;USA;False;False;4,5;4,4;1710374;274599
34;6/7/23;Spider-Man: Into the Spider-Verse;2018;Science Fiction;117;False;USA;False;False;4,5;4,4;1710374;274599
34;6/7/23;Spider-Man: Into the Spider-Verse;2018;Action;117;False;USA;False;False;4,5;4,4;1710374;274599
35;6/7/23;Spider-Man: Across the Spider-Verse;2023;Adventure;144;False;USA;False;False;5;4,5;1077277;509835
35;6/7/23;Spider-Man: Across the Spider-Verse;2023;Animation;144;False;USA;False;False;5;4,5;1077277;509835
35;6/7/23;Spider-Man: Across the Spider-Verse;2023;Science Fiction;144;False;USA;False;False;5;4,5;1077277;509835
35;6/7/23;Spider-Man: Across the Spider-Verse;2023;Action;144;False;USA;False;False;5;4,5;1077277;509835
36;22/7/23;Oppenheimer;2023;Drama;180;False;UK;False;False;3,5;4,2;1004775;606348
36;22/7/23;Oppenheimer;2023;Drama;180;False;USA;False;False;3,5;4,2;1004775;606348
36;22/7/23;Oppenheimer;2023;History;180;False;UK;False;False;3,5;4,2;1004775;606348
36;22/7/23;Oppenheimer;2023;History;180;False;USA;False;False;3,5;4,2;1004775;606348
37;25/7/23;Barbie;2023;Comedy;110;True;UK;False;False;5;3,9;1520735;879443
