id;Watched date;Name;Year;Genres;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
46;28/12/23;Priscilla;2023;Romance, Music, Drama;113;VERDADERO;Italy, USA;FALSO;FALSO;5;3,6;223387;226175
47;3/2/24;Anyone But You;2023;Romance, Comedy;104;FALSO;USA;FALSO;FALSO;4;3;200158;261432
48;14/1/24;Before Sunrise;1995;Romance, Drama;101;FALSO;Austria, USA;FALSO;FALSO;4,5;4,3;407882;164669
49;9/2/24;Drop Dead Gorgeous;1999;Comedy;98;FALSO;USA;FALSO;FALSO;4,5;3,8;30985;19890
50;18/2/24;Perfect Days;2023;Drama;125;FALSO;Germany, Japan;FALSO;FALSO;2,5;4,3;131475;86910
51;19/2/24;The Tale;2018;Drama, Mystery;114;VERDADERO;Germany, USA;FALSO;FALSO;4;3,9;9765;5903
52;20/2/24;American Hustle;2013;Crime, Drama;138;FALSO;USA;FALSO;FALSO;4;3,3;78923;21792
53;14/2/24;Mean Girls;2024;Comedy;112;VERDADERO;USA;FALSO;FALSO;3;2,7;92803;190237
54;21/2/24;Uptown Girls;2003;Drama, Comedy;92;FALSO;USA;FALSO;FALSO;4;3,8;67997;34568
55;22/2/24;Orphan;2009;Horror, Mystery, Thriller;123;FALSO;Canada, France, Germany, USA;FALSO;FALSO;5;3,3;88760;36363
56;23/2/24;Bodies Bodies Bodies;2022;Mystery, Horror, Comedy;95;VERDADERO;USA;FALSO;FALSO;5;3,3;220333;240337
57;23/2/24;Step Up;2006;Romance, Crime, Drama, Music;104;VERDADERO;USA;FALSO;FALSO;4,5;3;23630;8670
58;25/2/24;Emma.;2020;Romance, Comedy;124;VERDADERO;UK;FALSO;FALSO;4,5;3,7;132620;73703
59;26/2/24;Get a Clue;2002;Comedy, Mystery, TV Movie, Family;84;VERDADERO;USA;FALSO;FALSO;3;2,8;4085;2954
60;27/2/24;When Evil Lurks;2023;Horror, Thriller;99;FALSO;Argentina, USA;FALSO;FALSO;3,5;3,6;55437;51283
61;28/2/24;X;2022;Mystery, Thriller, Horror;105;FALSO;USA;FALSO;FALSO;4,5;3,4;347018;261904
62;3/3/24;Ferrari;2023;History, Drama;130;FALSO;UK, USA;FALSO;FALSO;2;3,2;38195;56375
63;9/3/24;Knowing;2009;Mystery, Science Fiction, Thriller, Action;121;FALSO;UK, USA, Australia;VERDADERO;FALSO;4;2,6;15242;9833
64;10/3/24;Past Lives;2023;Drama, Romance;116;VERDADERO;South Korea, USA;FALSO;FALSO;4,5;4,2;431135;320320
65;23/3/24;All of Us Strangers;2023;Romance, Drama, Fantasy;105;FALSO;UK, USA;FALSO;FALSO;5;4;150036;158559
66;31/3/24;The Joy Luck Club;1993;Drama;139;FALSO;USA, China;FALSO;FALSO;5;3,9;6372;3318
67;1/4/24;One Life;2023;Drama, History, War;110;FALSO;Australia, UK, USA;FALSO;FALSO;4;3,6;13926;13051
68;1/4/24;The Deep End of the Ocean;1999;Mystery, Drama;106;FALSO;USA;FALSO;FALSO;3;2,9;2909;3044
